# Data from table T 01.01.8.02 'Population résidante selon le sexe et l'âge, en 2020' Situation 31st Dec 2020,
# Source : Office cantonal de la statistique - Statistique cantonale de la population (accessed 2021-07-07),,
# Age en années révolues,,
# Tidied by Nick Pullen (i.e. copy and paste into a more sensible format from above),,
Age,Sex,Total
0,Female,2161
1,Female,2506
2,Female,2546
3,Female,2576
4,Female,2637
5,Female,2520
6,Female,2763
7,Female,2512
8,Female,2560
9,Female,2519
10,Female,2636
11,Female,2561
12,Female,2589
13,Female,2613
14,Female,2522
15,Female,2623
16,Female,2752
17,Female,2540
18,Female,2651
19,Female,2742
20,Female,2927
21,Female,2989
22,Female,3023
23,Female,3318
24,Female,3295
25,Female,3371
26,Female,3442
27,Female,3612
28,Female,3707
29,Female,3802
30,Female,3797
31,Female,3829
32,Female,3875
33,Female,3820
34,Female,3826
35,Female,3857
36,Female,3943
37,Female,3832
38,Female,3932
39,Female,3962
40,Female,4015
41,Female,3887
42,Female,3873
43,Female,3983
44,Female,3863
45,Female,3956
46,Female,3917
47,Female,3907
48,Female,3879
49,Female,3750
50,Female,3893
51,Female,3727
52,Female,3796
53,Female,3782
54,Female,3821
55,Female,3838
56,Female,3938
57,Female,3558
58,Female,3495
59,Female,3237
60,Female,3056
61,Female,3011
62,Female,2694
63,Female,2579
64,Female,2467
65,Female,2310
66,Female,2357
67,Female,2263
68,Female,2170
69,Female,2020
70,Female,2227
71,Female,2093
72,Female,2247
73,Female,2305
74,Female,2186
75,Female,2101
76,Female,2204
77,Female,2023
78,Female,1983
79,Female,1798
80,Female,1580
81,Female,1544
82,Female,1482
83,Female,1404
84,Female,1214
85,Female,1190
86,Female,1137
87,Female,1068
88,Female,931
89,Female,831
90,Female,810
91,Female,627
92,Female,525
93,Female,459
94,Female,345
95,Female,311
96,Female,227
97,Female,189
98,Female,136
99,Female,93
100,Female,49
101,Female,34
102,Female,15
103,Female,7
104,Female,5
>= 105,Female,9
0,Male,2384
1,Male,2572
2,Male,2594
3,Male,2707
4,Male,2692
5,Male,2738
6,Male,2723
7,Male,2825
8,Male,2756
9,Male,2761
10,Male,2725
11,Male,2700
12,Male,2703
13,Male,2763
14,Male,2689
15,Male,2697
16,Male,2719
17,Male,2516
18,Male,2863
19,Male,2832
20,Male,2991
21,Male,2998
22,Male,2979
23,Male,3174
24,Male,3380
25,Male,3307
26,Male,3368
27,Male,3527
28,Male,3639
29,Male,3742
30,Male,3766
31,Male,3781
32,Male,3750
33,Male,3665
34,Male,3659
35,Male,3816
36,Male,3692
37,Male,3780
38,Male,3867
39,Male,3868
40,Male,3784
41,Male,3862
42,Male,3676
43,Male,3773
44,Male,3754
45,Male,3664
46,Male,3847
47,Male,3767
48,Male,3839
49,Male,3729
50,Male,3554
51,Male,3508
52,Male,3585
53,Male,3680
54,Male,3763
55,Male,3753
56,Male,3688
57,Male,3471
58,Male,3243
59,Male,3202
60,Male,2990
61,Male,2955
62,Male,2666
63,Male,2537
64,Male,2354
65,Male,2233
66,Male,1976
67,Male,1848
68,Male,1836
69,Male,1696
70,Male,1772
71,Male,1685
72,Male,1724
73,Male,1646
74,Male,1723
75,Male,1635
76,Male,1615
77,Male,1558
78,Male,1432
79,Male,1232
80,Male,1175
81,Male,1079
82,Male,1027
83,Male,936
84,Male,869
85,Male,824
86,Male,695
87,Male,613
88,Male,536
89,Male,415
90,Male,407
91,Male,295
92,Male,253
93,Male,168
94,Male,131
95,Male,97
96,Male,60
97,Male,37
98,Male,26
99,Male,18
100,Male,15
101,Male,5
102,Male,4
103,Male,1
104,Male,0
>= 105,Male,6
